valid_time,latitude,longitude,t2m,d2m,sp,tp,number,expver,fecha_actualizacion
2025-10-14,14.0,-90.0,296.3214,293.7622,93525.69,0.018887255,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,14.0,-89.9,296.0558,293.73486,93457.69,0.021714848,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,14.0,-89.80000000000001,295.15735,292.99854,92041.69,0.024328578,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,14.0,-89.70000000000002,294.94446,292.69775,91580.69,0.024933811,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,14.0,-89.60000000000002,295.17688,293.01025,91930.69,0.024608169,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,14.0,-89.50000000000003,296.13782,293.80518,93599.69,0.022516984,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,14.0,-89.40000000000003,296.86243,294.31885,94897.69,0.019809607,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,14.0,-89.30000000000004,296.95032,294.47314,95359.69,0.016872954,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,14.0,-89.20000000000005,297.01282,294.83838,95955.69,0.017404411,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,14.0,-89.10000000000005,296.7296,295.104,96031.69,0.01886021,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,14.0,-89.0,296.1964,294.83838,95513.69,0.01964477,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.9,-90.0,296.97375,294.67822,95143.69,0.024196249,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.9,-89.9,295.5343,293.45557,92631.69,0.027021226,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.9,-89.80000000000001,294.19836,292.35986,90377.69,0.029846746,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.9,-89.70000000000002,293.13,291.4165,88578.69,0.031896975,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.9,-89.60000000000002,293.95227,292.0786,89959.69,0.030466307,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.9,-89.50000000000003,295.6554,293.54346,93070.69,0.027965259,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.9,-89.40000000000003,296.8546,294.58447,95410.69,0.025259014,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.9,-89.30000000000004,296.9425,294.9048,95968.69,0.022194225,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.9,-89.20000000000005,296.86047,294.66846,95892.69,0.019450907,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.9,-89.10000000000005,296.6632,294.67822,95922.69,0.021008816,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.9,-89.0,296.1886,294.5747,95735.69,0.023190204,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.8,-90.0,298.29993,295.93408,98047.69,0.016860787,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.8,-89.9,296.64758,294.55127,94981.69,0.019818101,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.8,-89.80000000000001,295.33704,293.53174,92681.69,0.02304862,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.8,-89.70000000000002,294.5421,292.99463,91524.69,0.026313271,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.8,-89.60000000000002,294.42102,292.83838,91576.69,0.027404983,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.8,-89.50000000000003,295.2433,293.43604,93026.69,0.02553286,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.8,-89.40000000000003,296.14954,294.2173,94803.69,0.0228247,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.8,-89.30000000000004,296.1261,294.21143,94963.69,0.020326484,0,0005,2025-10-19 20:37:48.903879+00:00
